manufacturer_name,manufacturer_company,is_varient,model,icao,class,wake,engine_type,engine_number,engine_name,engine_manufacturer,engine_model,engine_thrust,length,wingspan,tail_height,range,ceiling,max_speed,passenger_capacity,base_model
328 SUPPORT SERVICES,328 SUPPORT SERVICES,0,Dornier 328JET,J328,L,M,J,2,,,,,,,,,,,
3XTRIM,3XTRIM,0,550 Trener,TR55,L,L,P,1,,,,,,,,,,,
3XTRIM,3XTRIM,1,Trener,TR55,L,L,P,1,,,,,,,,,,,,550 Trener
3XTRIM,3XTRIM,1,3X-55 Trener,TR55,L,L,P,1,,,,,,,,,,,,550 Trener
3XTRIM,3XTRIM,1,3X-LS Navigator 600,TR55,L,L,P,1,,,,,,,,,,,,550 Trener
3XTRIM,3XTRIM,1,Navigator 600,TR55,L,L,P,1,,,,,,,,,,,,550 Trener
3XTRIM,3XTRIM,0,450 Ultra,UL45,L,L,P,1,,,,,,,,,,,
3XTRIM,3XTRIM,1,Ultra,UL45,L,L,P,1,,,,,,,,,,,,450 Ultra
3XTRIM,3XTRIM,1,3X-47 Ultra,UL45,L,L,P,1,,,,,,,,,,,,450 Ultra
AAC,AAC,0,SeaStar,PETR,A,L,P,1,,,,,,,,,,,
AAMSA,AAMSA,0,A-9 Quail,A9,L,L,P,1,,,,,,,,,,,
AAMSA,AAMSA,1,Quail,A9,L,L,P,1,,,,,,,,,,,,A-9 Quail
AASI,AASI,0,Jetcruzer,JCRU,L,L,T,1,,,,,,,,,,,
ABS,ABS,0,RF-9,RF9,L,L,P,1,,,,,,,,,,,
ACBA,ACBA,0,ACBA-8 Midour 2,MIDR,L,L,P,1,,,,,,,,,,,
ACBA,ACBA,1,Midour 2,MIDR,L,L,P,1,,,,,,,,,,,,ACBA-8 Midour 2
ACE,ACE,0,Junior Ace,JACE,L,L,P,1,,,,,,,,,,,
ACE,ACE,0,Super Ace,SACE,L,L,P,1,,,,,,,,,,,
ACEAIR,ACEAIR,0,A-200 Aeriks 200,ARKS,L,L,P,1,,,,,,,,,,,
ACEAIR,ACEAIR,1,A-200 Aeris 200,ARKS,L,L,P,1,,,,,,,,,,,,A-200 Aeriks 200
ACEAIR,ACEAIR,1,Aeriks 200,ARKS,L,L,P,1,,,,,,,,,,,,A-200 Aeriks 200
ACEAIR,ACEAIR,1,Aeris 200,ARKS,L,L,P,1,,,,,,,,,,,,A-200 Aeriks 200
ACES HIGH,ACES HIGH,0,Cuby 2,CUB2,L,L,P,1,,,,,,,,,,,
ACRO SPORT,ACRO SPORT,0,Acro-Sport 2,ACR2,L,L,P,1,,,,,,,,,,,
ACRO SPORT,ACRO SPORT,0,Acro-Sport 1,ACRO,L,L,P,1,,,,,,,,,,,
ACRO SPORT,ACRO SPORT,1,Super Acro-Sport,ACRO,L,L,P,1,,,,,,,,,,,,Acro-Sport 1
ACRO SPORT,ACRO SPORT,0,Cougar,COUG,L,L,P,1,,,,,,,,,,,
